roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-01,male,group D,some college,1,1,89,85,26,C,59.5
std-02,male,group B,high school,1,0,65,67,96,A,82
std-03,male,group C,master's degree,1,0,10,97,58,B,66
std-04,male,group D,some college,1,1,22,41,84,D,49.5
std-05,male,group C,some college,0,1,26,64,65,C,53.25
std-06,male,group B,high school,1,0,40,69,48,C,51.5
std-07,,group C,some college,0,0,34,84,73,C,59.75
std-08,male,group B,associate's degree,1,1,25,34,17,D,39
std-09,male,group C,,1,1,28,100,76,B,70.75
std-10,male,group C,some high school,,0,71,85,39,C,54.25
std-11,male,group C,high school,1,,55,87,60,B,66.5
std-12,male,group E,associate's degree,1,0,,54,55,C,57
std-13,male,group A,associate's degree,1,0,29,76,91,B,73.25
std-14,male,group E,high school,0,1,18,,45,D,40.5
std-15,male,A,associate's degree,1,1,72,52,,B,72.25
std-16,male,group D,master's degree,0,0,23,34,54,C,
std-17,male,group E,some high school,0,0,35,87,91,,70.75
std-18,male,group B,some college,0,1,38,82,73,B,
std-19,Boy,group C,bachelor's degree,1,1,41,78,,B,70
std-20,male,group B,some high school,1,1,22,,75,C,56
std-21,male,group E,master's degree,1,1,44,50,47,C,52
std-22,male,group C,some high school,1,1,,62,54,D,48.75
std-23,male,group B,bachelor's degree,1,1,39,49,78,C,59.25
std-24,male,group B,associate's degree,,1,85,43,57,B,70.5
std-25,male,group A,,1,0,30,63,9,D,41.25
std-26,male,,some college,1,1,100,74,95,B,76.75
std-27,,group C,some high school,1,0,61,81,44,B,62.5
std-28,male,group B,high school,0,0,47,98,46,C,60
std-29,male,group D,associate's degree,0,0,37,57,82,C,58.25
std-30,male,group E,high school,0,1,49,61,78,C,60.5
std-31,male,group E,some high school,1,1,72,64,81,B,76.5
std-32,male,group A,associate's degree,0,0,18,82,9,D,44.5
std-33,male,group C,associate's degree,0,0,11,60,31,D,42.25
std-34,male,group A,some college,1,1,41,97,65,B,70
std-35,male,group C,associate's degree,1,0,32,74,70,C,61.75
std-36,male,group A,some college,1,0,85,74,57,B,73
std-37,male,group C,some high school,1,0,78,52,71,B,70.75
std-38,,group C,associate's degree,1,1,36,57,93,B,64
std-39,male,group D,high school,0,0,68,86,99,B,79.75
std-40,male,group D,,1,0,97,64,66,B,79
std-41,male,group D,some high school,,0,38,55,62,B,63
std-42,male,group D,high school,1,,38,95,50,B,68.75
std-43,male,group B,high school,1,0,,54,65,C,53.75
std-44,male,group A,bachelor's degree,0,0,78,81,71,B,78.25
std-45,male,group D,some college,1,0,64,,96,B,74.25
std-46,male,group C,some college,1,0,60,33,,C,53
std-47,male,group D,some college,0,0,60,78,67,B,
std-48,male,group C,high school,0,0,38,53,60,C,60.25
std-49,male,group D,some high school,0,0,69,98,46,B,77.75
std-50,male,group E,high school,0,0,87,48,55,B,63.25
std-51,male,group B,some high school,1,0,83,,,B,68
std-52,male,group D,associate's degree,0,1,42,57,94,B,64.25
std-53,male,group C,bachelor's degree,1,1,72,69,28,C,60.5
std-54,male,group C,some college,1,0,,59,9,C,53
std-55,male,group B,some college,0,,52,73,75,B,74.5
std-56,male,group B,associate's degree,,1,65,60,57,C,62
std-57,male,group C,,1,1,27,100,38,C,55
std-58,male,,bachelor's degree,0,0,46,30,69,C,59
std-59,,group C,associate's degree,1,1,12,74,63,C,58
std-60,male,group D,some high school,1,0,51,100,60,B,71
std-61,male,group D,some high school,1,0,32,77,61,B,67.5
std-62,male,group B,some high school,1,0,75,73,79,B,78.25
std-63,male,group B,associate's degree,0,1,60,82,71,B,66.5
std-64,male,group D,some college,1,0,20,63,71,C,57.5
std-65,male,group B,bachelor's degree,1,1,85,80,72,B,79.75
std-66,male,group D,associate's degree,1,0,81,100,100,A,92.25
std-67,male,group A,associate's degree,1,0,98,32,51,C,55.25
std-68,male,group C,master's degree,1,1,72,61,65,B,72
std-69,male,group C,master's degree,1,0,83,56,74,B,75.5
std-70,male,group C,some college,1,0,100,32,74,B,67
std-71,male,group A,some high school,0,0,24,68,52,C,57.5
std-72,male,group D,some high school,1,0,71,68,72,B,75.25
std-73,male,group B,some college,1,0,20,100,56,C,62.25
std-74,male,group E,associate's degree,1,0,23,65,65,C,52.5
std-75,male,group A,associate's degree,0,1,82,53,75,C,60
std-76,male,group C,some college,1,0,49,53,33,D,41.25
std-77,male,group D,master's degree,1,0,35,33,46,D,44
std-78,male,group D,some college,0,0,55,98,74,B,71.25
std-79,male,group B,some high school,1,0,32,78,36,C,61.5
std-80,male,group D,high school,0,0,19,25,78,D,45.5
std-81,male,group E,bachelor's degree,1,1,47,100,90,B,76.75
std-82,male,group E,high school,0,1,48,80,100,B,76
std-83,male,group E,master's degree,1,0,29,44,79,C,57.25
std-84,male,group E,bachelor's degree,1,0,34,41,53,D,49.5
std-85,male,group D,associate's degree,1,0,74,26,60,C,57.25
std-86,male,group E,some college,1,0,44,58,72,B,66
std-87,male,group C,some college,1,1,28,87,52,C,62.25
std-88,male,group B,master's degree,1,0,72,49,88,B,71.25
std-89,male,group E,some college,1,1,43,50,56,C,57.75
std-90,male,group E,some college,1,0,71,59,60,B,63.75
std-91,male,group B,some college,1,1,62,45,33,D,49.5
std-92,male,group C,some college,1,0,42,80,74,B,64
std-93,male,group E,associate's degree,0,0,43,83,93,B,76.25
std-94,male,group B,high school,0,1,21,18,66,D,41.25
std-95,male,group B,some high school,1,0,72,23,62,C,60.75
std-96,male,group E,associate's degree,0,0,93,30,79,B,71.75
std-97,male,group D,some high school,1,0,66,95,59,B,77.75
std-98,male,group D,some college,1,1,65,64,27,C,55.25
std-99,male,group D,master's degree,0,0,47,54,23,D,47
std-100,male,group C,some high school,0,0,0,62,94,D,48.25
std-101,male,group D,associate's degree,1,1,25,69,36,C,52
std-102,male,group B,associate's degree,1,1,78,62,15,C,59.25
std-103,male,group B,high school,0,0,82,82,79,A,81.75
std-104,male,group E,some college,1,1,46,96,100,A,85
std-105,male,group C,some college,1,0,13,68,10,D,47.75
std-106,male,group D,bachelor's degree,1,0,28,71,42,C,55
std-107,male,group A,some college,1,0,35,58,51,C,54.5
std-108,male,group A,associate's degree,1,1,39,93,77,B,68.25
std-109,male,group C,high school,1,1,51,68,36,C,56
std-110,male,group B,master's degree,0,0,71,71,83,B,78.5
std-111,male,group D,high school,0,0,45,37,50,D,49.25
std-112,male,group E,high school,1,1,57,56,52,C,56.25
std-113,male,group C,bachelor's degree,1,1,44,100,88,A,80.25
std-114,male,group C,some high school,1,0,20,78,61,C,57
std-115,male,group A,associate's degree,1,0,54,71,80,B,75
